Deployment Leg,Sensor ID,DN Station ID,IMEI,Deployment Date,Deployment Datetime,First Data Datetime,Last Data Datetime,Active,Sampling Frequency (hh:mm),Re-deployed As,Formerly Deployed As,Buoy Type,Manufacturer,Model,PI,Data Authors
3,2020S97,CO1,300234066083130,2020-04-29,2020-04-29 14:03:00,2020-04-29 15:00:00,2020-08-26 04:03:01,0,01:00,,,Snow Buoy,MetOcean Telematics,ICEB-I-TBAS-SH-A,Nicolaus,Marcel Nicolaus; Philipp Anhaus; Robert Ricker; Steven Fons; Mario Hoppmann
3,2020T75,CO1,300234068325170,2020-04-23,2020-04-23 09:30:00,2020-04-23 10:00:14,2020-08-07 15:00:13,0,00:30,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Ruibo Lei; Bin Cheng; Jennifer Hutchings
3,2020T79,CO1,300234068527600,2020-04-16,2020-04-16 10:00:00,2020-04-16 10:00:14,2020-07-31 15:00:13,0,00:30,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Ruibo Lei; Bin Cheng; Jennifer Hutchings
3,ASFS30UCB2,CO1,ASFS30UCB,2020-04-15,2020-04-15 12:29:00,2020-04-15 12:30:00,2020-06-30 12:20:00,0,00:10,ASFS30UCB3; ASFS30UCB4; ASFS30UCB5,ASFS30UCB1,Atmospheric Surface Flux Station,Hemisphere,GPS Compass V102,Shupe,Matthew D Shupe; Ola Persson; Christopher J Cox; Michael Gallagher; Taneil Uttal; Jennifer Hutchings; Sara M Morris; Dave Costa; Jackson Osborn
3,ASFS50UCB2,CO1,ASFS50UCB,2020-04-14,2020-04-14 12:47:00,2020-04-14 12:50:01,2020-05-07 11:00:00,0,00:10,ASFS50UCB3; ASFS50UCB4,ASFS50UCB1,Atmospheric Surface Flux Station,Hemisphere,GPS Compass V102,Shupe,Matthew D Shupe; Ola Persson; Christopher J Cox; Michael Gallagher; Taneil Uttal; Jennifer Hutchings; Sara M Morris; Dave Costa; Jackson Osborn
3,2020R12,L3,300025060614630,2020-04-24,2020-04-24 13:48:00,2020-04-24 14:04:29,2020-08-07 12:59:59,0,01:00,,,Radiation Station,Bruncin,Radiation Station,Nicolaus,Marcel Nicolaus; Philipp Anhaus; Mario Hoppmann; Ran Tao; Christian Katlein
3,2020R11,LM,300025060613750,2020-03-26,2020-03-26 14:55:00,2020-03-26 14:55:36,2020-08-01 10:00:07,0,01:00, 2020R21,,Radiation Station,Bruncin,Radiation Station,Nicolaus,Marcel Nicolaus; Philipp Anhaus; Mario Hoppmann; Ran Tao; Christian Katlein
3,2020P216,P070,300234068280900,2020-03-17,2020-03-17 14:35:00,2020-03-17 14:40:25,2020-12-18 10:00:25,0,00:10,,,SVP,PacificGyre IT,Universal Tracker,Hutchings,Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020P219,P073,300234068283890,2020-03-17,2020-03-17 14:58:00,2020-03-17 15:00:25,2020-09-30 02:40:27,0,00:10,,,SVP,PacificGyre IT,Universal Tracker,Hutchings,Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020P185,P075,300234066412350,2020-03-17,2020-03-17 14:46:00,2020-03-17 15:00:18,2021-02-18 12:00:45,0,00:30,,,SVP,PacificGyre IT,Universal Tracker,Hutchings,Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020P213,P077,300234010307830,2020-03-22,2020-03-22 10:58:00,2020-03-22 13:00:00,2020-10-16 20:00:01,0,01:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-P,Haapala,Jari Haapala; Marko Mäkynen; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020P214,P078,300234011097770,2020-03-22,2020-03-22 10:17:00,2020-03-22 12:00:00,2021-01-12 12:00:00,0,03:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-P,Haapala,Jari Haapala; Marko Mäkynen; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020P215,P079,300234011091780,2020-03-22,2020-03-22 10:17:00,2020-03-22 13:00:00,2020-12-02 16:17:00,0,03:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-P,Haapala,Jari Haapala; Marko Mäkynen; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020P160,P080,300234068219470,2020-03-22,2020-03-22 13:06:00,2020-03-22 13:14:00,2020-11-11 14:00:01,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann
3,2020P210,P081,300234010082440,2020-03-22,2020-03-22 10:31:00,2020-03-22 13:00:00,2021-01-09 21:00:00,0,03:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-P,Haapala,Jari Haapala; Marko Mäkynen; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
